country,included
Angola,yes
Albania,yes
Argentina,yes
Armenia,yes
Australia,yes
Austria,yes
Azerbaijan,yes
Burundi,yes
Belgium,yes
Benin,yes
Burkina Faso,yes
Bangladesh,yes
Bulgaria,yes
Bahrain,yes
Bolivia,yes
Brazil,yes
Botswana,yes
Canada,yes
Switzerland,yes
Chile,yes
China,yes
Cameroon,yes
Colombia,yes
Costa Rica,yes
Cyprus,yes
Germany,yes
Denmark,yes
Algeria,yes
Ecuador,yes
Spain,yes
Estonia,yes
Ethiopia,yes
Finland,yes
Fiji,yes
France,yes
Gabon,yes
United Kingdom,yes
Georgia,yes
Ghana,yes
Guinea-Bissau,yes
Greece,yes
Guatemala,yes
Guyana,yes
Honduras,yes
Croatia,yes
Haiti,yes
Hungary,yes
Indonesia,yes
India,yes
Ireland,yes
Iceland,yes
Israel,yes
Italy,yes
Jamaica,yes
Jordan,yes
Japan,yes
Kazakhstan,yes
Kenya,yes
Kyrgyz Republic,yes
Cambodia,yes
Kuwait,yes
Lebanon,yes
Sri Lanka,yes
Lesotho,yes
Lithuania,yes
Luxembourg,yes
Latvia,yes
Morocco,yes
Moldova,yes
Madagascar,yes
Mexico,yes
Mali,yes
Malta,yes
Myanmar,yes
Montenegro,yes
Mongolia,yes
Mozambique,yes
Mauritania,yes
Mauritius,yes
Malawi,yes
Malaysia,yes
Namibia,yes
Niger,yes
Nigeria,yes
Nicaragua,yes
Netherlands,yes
Norway,yes
Nepal,yes
New Zealand,yes
Oman,yes
Pakistan,yes
Panama,yes
Peru,yes
Philippines,yes
Poland,yes
Portugal,yes
Paraguay,yes
Qatar,yes
Romania,yes
Rwanda,yes
Saudi Arabia,yes
Senegal,yes
Singapore,yes
Sierra Leone,yes
El Salvador,yes
Serbia,yes
Suriname,yes
Slovenia,yes
Sweden,yes
Swaziland,yes
Chad,yes
Togo,yes
Thailand,yes
Tajikistan,yes
Timor-Leste,yes
Tunisia,yes
Turkey,yes
Tanzania,yes
Uganda,yes
Ukraine,yes
Uruguay,yes
United States,yes
Vietnam,yes
South Africa,yes
Zambia,yes
Zimbabwe,yes
Bhutan,yes
Guinea,yes
Liberia,yes
Aruba,no
Afghanistan,no
Andorra,no
United Arab Emirates,no
American Samoa,no
Antigua and Barbuda,no
"Bahamas, The",no
Bosnia and Herzegovina,no
Belarus,no
Belize,no
Bermuda,no
Barbados,no
Brunei Darussalam,no
Central African Republic,no
Channel Islands,no
Cote d'Ivoire,no
"Congo, Dem. Rep.",no
"Congo, Rep.",no
Comoros,no
Cabo Verde,no
Cuba,no
Curacao,no
Cayman Islands,no
Czech Republic,no
Djibouti,no
Dominica,no
Dominican Republic,no
"Egypt, Arab Rep.",no
Euro area,no
Eritrea,no
Faroe Islands,no
"Micronesia, Fed. Sts.",no
Gibraltar,no
"Gambia, The",no
Equatorial Guinea,no
Grenada,no
Greenland,no
Guam,no
"Hong Kong SAR, China",no
Isle of Man,no
"Iran, Islamic Rep.",no
Iraq,no
Kiribati,no
St. Kitts and Nevis,no
"Korea, Rep.",no
Lao PDR,no
Libya,no
St. Lucia,no
Liechtenstein,no
"Macao SAR, China",no
St. Martin (French part),no
Monaco,no
Maldives,no
Marshall Islands,no
Middle income,no
"Macedonia, FYR",no
Northern Mariana Islands,no
New Caledonia,no
Nauru,no
Other small states,no
Palau,no
Papua New Guinea,no
Puerto Rico,no
"Korea, Dem. Peopleâ€™s Rep.",no
West Bank and Gaza,no
French Polynesia,no
Russian Federation,no
Sudan,no
Solomon Islands,no
San Marino,no
Somalia,no
South Sudan,no
Sub-Saharan Africa,no
Small states,no
Sao Tome and Principe,no
Slovak Republic,no
Sint Maarten (Dutch part),no
Seychelles,no
Syrian Arab Republic,no
Turks and Caicos Islands,no
Turkmenistan,no
Tonga,no
Trinidad and Tobago,no
Tuvalu,no
Upper middle income,no
Uzbekistan,no
St. Vincent and the Grenadines,no
"Venezuela, RB",no
British Virgin Islands,no
Virgin Islands (U.S.),no
Vanuatu,no
World,no
Samoa,no
Kosovo,no
"Yemen, Rep.",no
